timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jun/22;PT3128;Patrol;Patrol 24M;0,0;382,2;0,0;0,8;66,8;0,0;23,9;19,9;58,6;11,2;43,8;69,8;113,5;382,2;563,3;;79,8%;85,0%;0,8;;5,0;2,0;7,0;76,4;8,8;54,6;22,7
jun/22;PT3129;Patrol;Patrol 24M;0,0;389,2;0,0;0,0;59,9;2,9;30,8;0,0;41,4;39,2;30,8;80,6;111,3;392,1;563,3;;80,2%;86,7%;0,9;;7,0;5,0;12,0;56,0;4,4;32,7;15,9
jun/22;PT3130;Patrol;Patrol 24M;0,0;417,4;0,0;2,2;55,3;0,0;24,6;0,0;29,2;34,6;24,6;63,8;88,4;417,4;563,3;;84,3%;87,9%;0,9;;4,0;2,0;6,0;104,4;6,2;69,6;22,1
jun/22;PT3131;Patrol;Patrol 24M;0,0;299,8;0,0;0,8;56,3;0,0;108,9;28,0;35,4;34,1;136,9;69,5;206,4;299,8;563,3;;63,4%;84,0%;0,8;;6,0;3,0;9,0;50,0;22,8;33,3;34,4
jun/22;PT3132;Patrol;Patrol 24M;0,0;477,6;0,0;1,0;54,8;0,0;14,8;0,0;9,4;5,7;14,8;15,1;29,9;477,6;563,3;;94,7%;89,5%;0,9;;4,0;3,0;7,0;119,4;3,7;68,2;7,5
jun/22;TE2923;Trator (Esteira);Caterpillar D11R;0,0;82,8;0,0;0,0;11,2;0,0;467,9;0,0;1,4;0,0;467,9;1,4;469,3;82,8;563,3;;16,7%;88,1%;0,9;;1,0;1,0;2,0;82,8;467,9;41,4;469,3
jun/22;TE2925;Trator (Esteira);Caterpillar D11R;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;563,3;0,0;0,0;563,3;563,3;0,0;563,3;;0,0%;0,0%;0,0;;0,0;1,0;1,0;0,0;0,0;0,0;0,0
jun/22;TE2926;Trator (Esteira);Caterpillar D11R;0,1;302,4;0,0;0,4;64,9;0,0;193,8;0,0;1,8;0,0;193,8;1,8;195,5;302,5;563,3;;65,3%;82,3%;0,8;;8,0;1,0;9,0;37,8;24,2;33,6;24,4
jun/22;TE2927;Trator (Esteira);Caterpillar D11R;0,0;100,8;0,0;0,0;24,9;0,0;15,3;0,0;422,3;0,0;15,3;422,3;437,6;100,8;563,3;;22,3%;80,2%;0,8;;4,0;1,0;5,0;25,2;3,8;20,2;109,4
jun/22;TE2928;Trator (Esteira);Caterpillar D11R;0,0;286,1;0,0;0,0;54,2;0,0;14,2;0,0;208,8;0,0;14,2;208,8;223,0;286,1;563,3;;60,4%;84,1%;0,8;;5,0;1,0;6,0;57,2;2,8;47,7;44,6
